Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
braemar-evaporative-cooler-filcel-pads-model-lcb-450-pn-114606,Braemar Evaporative Cooler FILCEL Pads Model LCB 450 PN. 114606,"<p> </p>
<ul>
<li>
<span> </span>x 4 Pack of Braemar Filter Pads Suits LCB 450</li>
<li>Size 847 x 526 x 90mm</li>
<li>Seeley PN. 114606</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",8800.0,shopify,18,deny,manual,290.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.08.25AM.png?v=1715818805,1,"",false,,,,,,,,,,,,,,,kg,,55.00,true,,,true,,,active
breezair-evaporative-cooler-filcel-pads-model-exq210-pn-114583,Breezair Evaporative Cooler FILCEL Pads Model EXQ210 PN. 114583,"<p> <strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Breezair Filter Pads Suits EXQ 210</li>
<ul>
<li>2 x 800 x 635 x 90mm</li>
<li>2 x 800 x 635 x 100mm</li>
</ul>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",8800.0,shopify,16,deny,manual,244.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,123.00,true,,,true,,,active
breezair-evaporative-cooler-filcel-pads-model-es-125-pn-114620,Breezair Evaporative Cooler FILCEL Pads Model ES 125 PN. 114620,"<p> <strong>Breezair Evaporative Cooler FILCEL Pads Model ES 125 PN. 114620</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Breezair Filter Pads Suits ES 125</li>
<li>Size 800 x 436 x 90mm</li>
<li>Seeley PN. 114620</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",6800.0,shopify,14,deny,manual,188.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
bonaire-evaporative-cooler-filcel-pads-model-vsm-65-integra-medium-cabinet-100mm-thick,Bonaire Evaporative Cooler FILCEL Pads Model VSM 65 Integra Medium Cabinet 100mm Thick,"<p> </p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Bonaire Filter Pads Suits VSM 65</li>
<li>Integra Medium Cabinet </li>
<li>100mm Thick </li>
<li>Size 755 x 487 x 100mm</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatmen</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",0.0,shopify,3,deny,manual,322.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM_380848bb-f98f-43b3-917d-6c4ab2e77da8.png?v=1715818504,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
celair-evaporative-cooler-pads-celdek-suits-model-low-profile-lp-850,Celair Evaporative Cooler Pads CELdek Suits Model Low Profile LP 850,"<p> <strong>Celair Evaporative Cooler Pads CELdek Suits Model Low Profile LP 850</strong></p>
<p>now offer you Celair evaporative cooler accessories, they are now online and ready to order with complete tech specs to ensure your seamless selection. Celair's evaporative coolers are designed to suit Australian conditions CELdek pads are specified by Australia’s leading manufacturers, keep your system in tip-top condition this Summer!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of CELdek Pads</li>
<li>Size 755 x 741 x 75mm</li>
<li>Suits Model LP 850</li>
<li>Fixing pins supplied</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",6900.0,shopify,13,deny,manual,333.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
brivis-evaporative-cooler-filcel-pads-model-contour-l43-pn-81008322,Brivis Evaporative Cooler FILCEL Pads Model Contour L43 PN. 81008322,"<p> <strong>Brivis Evaporative Cooler FILCEL Pads Model Contour L43 PN. 81008322</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Brivis Filter Pads Suits Contour L43</li>
<li>Front pad (largest) 847 x 618 x 90mm</li>
<li>Part No. Brivis/Rinnai B008322 / 81008317</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",7800.0,shopify,55,deny,manual,266.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.23.04AM.png?v=1717556425,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
breezair-evaporative-cooler-filcel-pads-model-exh210-pn-114583,Breezair Evaporative Cooler FILCEL Pads Model EXH210 PN. 114583,"<p> <strong>Breezair Evaporative Cooler FILCEL Pads Model EXH210 PN. 114583</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Breezair Filter Pads Suits EXH 210</li>
<ul>
<li>2 x 800 x 635 x 90mm</li>
<li>2 x 800 x 635 x 100mm</li>
</ul>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatmen</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",8000.0,shopify,33,deny,manual,255.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,144.00,true,,,true,,,active
coolair-evaporative-cooler-filcel-pads-model-cpl-1100-90mm-thick-pn-114606,Coolair Evaporative Cooler FILCEL Pads Model CPL 1100 90mm Thick PN. 114606,"<p> <strong>Coolair Evaporative Cooler FILCEL Pads Model CPL 1100 90mm Thick PN. 114606</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Coolair Filter Pads Suits CPL 1100 90mm Thick</li>
<li>Size 847 x 526 x 90mm</li>
<li>Seeley PN. 114606</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",5000.0,shopify,40,deny,manual,222.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM_380848bb-f98f-43b3-917d-6c4ab2e77da8.png?v=1715818504,1,"",false,,,,,,,,,,,,,,,kg,,111.00,true,,,true,,,active
coolbreeze-evaporative-cooler-filcel-pads-suits-model-heritage-f-d160-with-channel,Coolbreeze Evaporative Cooler FILCEL Pads Suits Model Heritage F/D160 with Channel,"<p><strong>Coolbreeze Evaporative Cooler FILCEL Pads Suits Model Heritage F/D160 with Channel</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Coolbreeze Filter Pads Suits Heritage F/D160 with Channel</li>
<li>Size 828 x 458 x 100mm</li>
<li><em>Strips not included (reuse existing set)</em></li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",10000.0,shopify,55,deny,manual,277.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-09at1.10.42PM.png?v=1715818414,1,"",false,,,,,,,,,,,,,,,kg,,133.00,true,,,true,,,active
celair-evaporative-cooler-filcel-pads-model-lp750-75mm-thick,Celair Evaporative Cooler FILCEL Pads Model LP750 75mm Thick,"<p> </p>
<p><strong>Celair Evaporative Cooler FILCEL Pads Model LP750 75mm Thick</strong></p>
<p>plumbonline's genuine FILCEL™ Australian owned &amp; made pads come ready to install with fixing pins, standard, rebated, or channel water distribution panels as needed. All you have to do is select the correct make &amp; model of your evaporative cooler, select ""Click &amp; Collect"" OR ""Fixed Delivery"" and we will do the rest!</p>
<p><strong>What do you get?</strong></p>
<ul>
<li>1 x 4 Pack of Celair Filter Pads Suits LP750</li>
<li>75mm Thick </li>
<li>Size 755 x 487 x 75mm</li>
<li>Supplied with fixing pins &amp; washers</li>
<li>All pads antibacterially pre-treated PLUS separate antibacterial tank treatment</li>
</ul>
<!---->",Evaporative Cooler Cooling pads,Uncategorized,"","",true,Title,Default Title,,,,,"",6800.0,shopify,44,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0701/7627/6726/files/Screenshot2024-05-16at10.08.25AM.png?v=1715818805,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
